gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumServices,AvgMonthlyRevenue,ContractMonths,HighValue,Cluster,PCA1,PCA2,silhouette,TSNE1,TSNE2,MonthlyBin,LTV,TotalRevenue
Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,4,103.9753521,24,1,0,3.843092461,1.924663689,0.198050529,47.818943,33.909744,"(94.25, 118.75]",2560.8,7382.25
Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,2,52.835,1,0,2,-0.97662006,0.806966934,-0.003346408,8.3804655,-28.876486,"(25.05, 58.83]",55.2,528.35
Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,3,88.70952381,1,1,2,1.295692918,-2.475452,0.207229973,9.337351,-57.52147,"(79.1, 94.25]",90.05,1862.9
Male,Yes,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,2,39.65,1,0,2,-1.198200949,-2.063616738,0.129237732,-2.9434204,42.19927,"(25.05, 58.83]",39.65,39.65
Male,No,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,0,16.85416667,12,0,1,-3.649637095,1.001421427,0.29153246,-45.36283,19.857943,"(18.249, 25.05]",237.6,202.25
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,0,20.15,1,0,1,-4.486701345,-0.058965293,0.31030174,-59.85946,-30.322239,"(18.249, 25.05]",20.15,20.15
Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,2,60.43275862,24,0,0,0.931145652,2.574409743,0.056390673,35.03459,47.020657,"(58.83, 79.1]",1437.6,3505.1
Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,3,60.61836735,1,0,0,0.332170146,1.765464456,-0.008693682,3.5028276,-26.113901,"(58.83, 79.1]",59.6,2970.3
Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2,51.02,1,0,2,-0.846208055,-0.525266183,0.097133852,-6.255281,-47.506397,"(25.05, 58.83]",55.3,1530.6
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,3,101.0457447,1,1,0,2.736555295,-1.481994782,-0.042341457,-18.38194,-29.79521,"(94.25, 118.75]",99.35,4749.15
Male,No,Yes,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,30.2,1,0,2,-2.425989941,-0.293949118,-0.018572556,-10.712909,30.703796,"(25.05, 58.83]",30.2,30.2
Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6,88.46458333,24,1,0,4.756893432,3.139372335,0.292774187,27.171122,54.097862,"(79.1, 94.25]",2166,6369.45
Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,2,64.3,1,0,2,-0.925841115,-0.789700389,0.070568976,-12.362328,6.550153,"(58.83, 79.1]",64.7,1093.1
Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,4,95.30915493,24,1,0,4.132085643,2.125840037,0.20105084,48.157997,47.707558,"(94.25, 118.75]",2312.4,6766.95
Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,3,90.825,1,1,2,1.448966779,-2.071232475,0.150767274,28.22109,-23.86451,"(94.25, 118.75]",95.5,181.65
Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,4,69.42407407,12,0,0,0.519377669,2.020512826,0.045368796,1.9081366,8.405458,"(58.83, 79.1]",793.8,1874.45
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,20.2,1,0,1,-4.099810995,-0.268561256,0.256032119,-46.71412,-18.168818,"(18.249, 25.05]",20.2,20.2
Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,45.25,1,0,2,-2.731098015,-1.496296434,0.001432755,54.824177,-33.985435,"(25.05, 58.83]",45.25,45.25
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,4,100.7180556,24,1,0,3.761511439,2.760475065,0.223975887,38.65517,40.599987,"(94.25, 118.75]",2397.6,7251.7
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0,63.38,1,0,2,-1.609738996,-2.858602998,0.222415377,-40.849346,-33.962925,"(58.83, 79.1]",69.7,316.9
Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1,77.13695652,1,1,2,0.114683344,-0.987020184,0.162185274,16.243055,-29.063337,"(58.83, 79.1]",74.8,3548.3
Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,4,104.3897059,1,1,2,3.078521665,-2.459849296,0.074752296,-18.982538,-39.95154,"(94.25, 118.75]",106.35,3549.25
Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,3,100.4909091,1,1,2,1.662740355,-2.393858816,0.178234295,9.849436,-47.342278,"(94.25, 118.75]",97.85,1105.4
Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,1,47.57,12,0,1,-2.099421113,0.972438348,0.137874784,1.8502686,11.546933,"(25.05, 58.83]",594.6,475.7
Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,3,69.605,24,0,0,2.08853888,3.144331079,0.158490704,34.824795,49.065235,"(58.83, 79.1]",1660.8,4872.35
Female,No,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,418.25,No,0,24.60294118,12,0,1,-3.865506046,1.69872678,0.332276817,-58.48254,14.776286,"(18.249, 25.05]",249,418.25
Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,5,77.16587302,24,1,0,3.33688093,2.66778683,0.21440287,39.250217,48.619778,"(79.1, 94.25]",1916.4,4861.45
Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,4,75.49615385,1,1,2,1.43328201,-1.0011614,0.102877971,-0.044227377,-56.542027,"(58.83, 79.1]",76.2,981.45
Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,79.72857143,1,1,2,0.718170006,-2.314044652,0.239322231,8.236611,-62.92509,"(79.1, 94.25]",84.5,3906.7
Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,1,48.5,1,0,1,-2.575169566,-0.722405467,0.057120847,-24.743124,4.997857,"(25.05, 58.83]",49.25,97
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,72.075,1,1,2,-0.714464155,-3.065985789,0.26934468,5.3049917,-66.93384,"(79.1, 94.25]",80.65,144.15
Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4,81.11153846,24,1,0,2.582341669,2.06256688,0.146685359,30.769417,53.170395,"(79.1, 94.25]",1914,4217.8
Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,3,61.65362319,24,0,0,1.780032868,3.615038621,0.149310218,34.71869,49.012337,"(58.83, 79.1]",1539.6,4254.1
Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,2,89.27325581,1,1,2,1.654545478,-2.740113365,0.183093665,36.407673,-44.81571,"(79.1, 94.25]",90.25,3838.75
Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,4,95.09333333,1,1,2,1.967031322,-1.502063103,0.096154169,15.42737,-26.198175,"(94.25, 118.75]",99.1,1426.4
Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,3,70.106,1,0,2,1.084600852,-0.279711149,0.077516615,23.902672,-29.567083,"(58.83, 79.1]",69.5,1752.65
Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,79.1625,1,1,2,0.183400036,-1.842340027,0.193144079,24.77258,-28.588388,"(79.1, 94.25]",80.65,633.3
Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,5,74.2725,12,1,0,2.981932204,1.906948889,0.162031845,36.24801,9.851698,"(58.83, 79.1]",898.2,4456.35
Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,2,97.36388889,1,1,2,1.365105316,-3.481334876,0.24837792,54.657635,-20.882345,"(94.25, 118.75]",95.45,1752.55
Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,3,100.1777778,12,1,0,3.224437123,0.761209555,0.13448996,34.127113,8.190282,"(94.25, 118.75]",1195.8,6311.2
Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,5,107.2174242,12,1,0,5.053356169,-0.298145674,0.175776428,40.407722,-8.603489,"(94.25, 118.75]",1301.4,7076.35
Female,No,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,0,26.30294118,24,0,1,-2.513609068,3.289210215,0.292466046,3.852028,61.549072,"(18.249, 25.05]",598.8,894.3
Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,4,109.0791667,24,1,0,4.428650121,1.480669174,0.206673192,44.820415,52.818287,"(94.25, 118.75]",2580,7853.7
Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,3,100.1510638,1,1,2,2.801095335,-1.931827114,0.0642284,12.403506,-50.867355,"(94.25, 118.75]",100.5,4707.1
Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,2,90.845,1,1,2,1.719947061,-1.344674154,0.097094925,-15.124774,-23.930202,"(79.1, 94.25]",89.9,5450.7
Male,No,Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,3,41.13888889,24,0,0,0.335912422,3.392776399,0.011772657,12.986295,37.922062,"(25.05, 58.83]",1010.4,2962
Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,2,53.17222222,12,0,2,-0.427032356,1.26185502,-0.016411179,19.496042,8.951026,"(25.05, 58.83]",652.8,957.1
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,2,95.25,1,1,2,0.707781314,-2.854177614,0.259985996,12.510319,-60.129017,"(94.25, 118.75]",94.4,857.25
Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,4,81.36666667,1,1,2,0.894282121,-1.95735098,0.185197712,7.2502275,-57.183353,"(58.83, 79.1]",75.3,244.1
Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,1,77.66702128,12,1,2,0.862155142,-1.013688814,0.114469778,13.839405,-11.080558,"(58.83, 79.1]",946.8,3650.35
Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,5,80.55483871,24,1,0,1.782356502,1.918997623,0.10439679,42.03586,20.953897,"(79.1, 94.25]",1900.8,2497.2
Female,No,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,18.618,24,0,1,-3.026196397,3.242236223,0.343349502,-31.053339,34.531445,"(18.249, 25.05]",483.6,930.9
Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,2,88.735,1,1,2,-0.356014026,-1.535432389,0.16468393,-21.428314,-3.9182036,"(79.1, 94.25]",79.85,887.35
Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,1,49.05,1,0,1,-2.621751293,-0.525905681,0.066178001,-24.065536,3.5222888,"(25.05, 58.83]",49.05,49.05
Female,No,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No,0,20.97403846,12,0,1,-2.777180594,0.997385731,0.211004259,-51.297245,16.389286,"(18.249, 25.05]",244.8,1090.65
Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,5,110.921875,24,1,0,5.096358266,1.731833715,0.231298506,52.22917,38.819183,"(94.25, 118.75]",2678.4,7099
Male,No,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,22.97741935,24,0,1,-2.154490293,2.95676953,0.273239156,-21.320278,64.51153,"(18.249, 25.05]",582,1424.6
Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,3,59.13333333,1,0,2,-0.403051371,-0.416995027,0.113622274,-5.769458,-45.062836,"(58.83, 79.1]",64.5,177.4
Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,5,109.6339286,12,1,0,4.437573962,-1.028302287,0.121816897,39.73748,-4.0805144,"(94.25, 118.75]",1326,6139.5
Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,1,58.45326087,12,0,1,-0.857690747,0.599910717,0.034443864,23.09366,6.5010085,"(25.05, 58.83]",667.8,2688.85
Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,2,60.28125,1,0,1,-1.534913562,0.515259625,0.037220919,-9.884306,5.755282,"(25.05, 58.83]",54.65,482.25
Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,4,70.37666667,1,1,2,1.391456281,-1.827214637,0.138269455,50.875877,-23.883493,"(58.83, 79.1]",74.75,2111.3
Female,No,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,27.03555556,12,0,1,-2.290902742,1.819594777,0.220781468,-42.73422,11.286694,"(25.05, 58.83]",310.8,1216.6
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,79.35,1,1,2,-0.67711659,-2.650738973,0.232763788,4.4916267,-53.47692,"(79.1, 94.25]",79.35,79.35
Female,No,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,3,51.39545455,1,0,2,-0.442063132,-0.23523111,0.085452916,-12.2284775,37.91798,"(25.05, 58.83]",50.55,565.35
Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70.98571429,1,1,2,-0.657608152,-1.663751561,0.182378922,1.541174,-48.362324,"(58.83, 79.1]",75.15,496.9
Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,5,103.0357143,1,1,0,3.332128478,-1.200176044,0.037865554,12.76243,-45.24849,"(94.25, 118.75]",103.8,4327.5
Female,No,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,19.86428571,24,0,1,-2.762696822,2.379836609,0.292451992,-27.47946,42.35291,"(18.249, 25.05]",483.6,973.35
Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,3,102.0833333,1,1,2,1.73401311,-2.085689672,0.148932805,5.107606,-17.548082,"(94.25, 118.75]",99.3,918.75
Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2,63.29857143,12,0,2,-0.044063164,0.361872638,0.050918249,11.713335,2.915504,"(58.83, 79.1]",745.8,2215.45
Female,No,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057,No,0,22.02083333,24,0,1,-2.982057912,3.201582795,0.341358475,-30.84068,34.429108,"(18.249, 25.05]",495.6,1057
Female,No,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1,No,0,20.15434783,24,0,1,-3.190659272,3.014917079,0.333104155,-49.878033,42.80116,"(18.249, 25.05]",478.8,927.1
Male,No,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,1,34.80172414,1,0,1,-2.372784973,0.268381492,0.083612314,-15.112117,18.867973,"(25.05, 58.83]",33.75,1009.25
Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2,85.67333333,1,1,2,0.440686106,-0.324765076,0.127971294,-22.354187,-22.004835,"(79.1, 94.25]",82.05,2570.2
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,1,74.7,1,1,2,-0.944523442,-2.682036412,0.199437805,53.08981,-32.118637,"(58.83, 79.1]",74.7,74.7
Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,5714.25,No,5,86.57954545,24,1,0,3.353190443,3.180868113,0.228229597,40.184055,25.331837,"(79.1, 94.25]",2016,5714.25
Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,5,109.3384615,1,1,0,4.537570968,-0.46535698,0.142611365,15.679146,-21.408058,"(94.25, 118.75]",111.05,7107
Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,4,103.5979167,24,1,0,4.125161243,0.929981242,0.190890148,53.743,33.398262,"(94.25, 118.75]",2421.6,7459.05
Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,77.27916667,1,1,2,-0.261133957,-2.551197007,0.256309072,-1.4555951,-62.100597,"(58.83, 79.1]",78.95,927.35
Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,3,66.88309859,12,0,0,1.72314993,2.355645611,0.125045944,25.440914,16.154785,"(58.83, 79.1]",802.2,4748.7
Male,No,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes,0,22.77,1,0,1,-4.40050616,-0.021762902,0.310563214,-58.578934,-27.637907,"(18.249, 25.05]",21.05,113.85
Male,No,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21,1107.2,No,0,21.29230769,24,0,1,-3.132978738,2.400867023,0.323285769,-21.603678,55.559303,"(18.249, 25.05]",504,1107.2
Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,4,100.58,1,1,2,2.739578402,-2.55209571,0.101037636,36.33306,-40.040035,"(94.25, 118.75]",98.5,2514.5
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,0,20.2,1,0,1,-4.48557863,-0.059566665,0.310227449,-60.385994,-30.813602,"(18.249, 25.05]",20.2,20.2
Female,No,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,No,0,19.45,1,0,1,-3.813825392,-0.042653649,0.207668843,-44.57352,-10.004491,"(18.249, 25.05]",19.45,19.45
